date,state,Total
2021-08,Wyoming,4940
2021-07,Alabama,34917
2021-07,Alaska,6064
2021-07,Arizona,31855
2021-07,Arkansas,12639
2021-07,California,73977
2021-07,Colorado,34506
2021-07,Connecticut,7542
2021-07,Delaware,4077
2021-07,District of Columbia,314
2021-07,Florida,94178
2021-07,Georgia,28699
2021-07,Hawaii,0
2021-07,Idaho,11360
2021-07,Illinois,55887
2021-07,Indiana,34973
2021-07,Iowa,6336
2021-07,Kansas,11526
2021-07,Kentucky,19418
2021-07,Louisiana,23869
2021-07,Maine,8178
2021-07,Maryland,13984
2021-07,Massachusetts,11361
2021-07,Michigan,41646
2021-07,Minnesota,23350
2021-07,Mississippi,16216
2021-07,Missouri,36170
2021-07,Montana,8475
2021-07,Nebraska,1691
2021-07,Nevada,9006
2021-07,New Hampshire,9400
2021-07,New Jersey,15404
2021-07,New Mexico,12277
2021-07,New York,26816
2021-07,North Carolina,16105
2021-07,North Dakota,4224
2021-07,Ohio,38135
2021-07,Oklahoma,22821
2021-07,Oregon,24429
2021-07,Pennsylvania,66670
2021-07,Rhode Island,2347
2021-07,South Carolina,19345
2021-07,South Dakota,5419
2021-07,Tennessee,48816
2021-07,Texas,101973
2021-07,Utah,9315
2021-07,Vermont,3621
2021-07,Virginia,44332
2021-07,Washington,34035
2021-07,West Virginia,11026
2021-07,Wisconsin,31072
2021-07,Wyoming,4539
2021-06,Alabama,37781
2021-06,Alaska,5818
2021-06,Arizona,31323
2021-06,Arkansas,13112
2021-06,California,78392
2021-06,Colorado,34549
2021-06,Connecticut,10137
2021-06,Delaware,4231
2021-06,District of Columbia,320
2021-06,Florida,97703
2021-06,Georgia,32059
2021-06,Hawaii,0
2021-06,Idaho,11486
2021-06,Illinois,34744
2021-06,Indiana,34424
2021-06,Iowa,2176
2021-06,Kansas,11843
2021-06,Kentucky,18839
2021-06,Louisiana,25287
2021-06,Maine,7303
2021-06,Maryland,13565
2021-06,Massachusetts,10309
2021-06,Michigan,42163
2021-06,Minnesota,22648
